.\gitmap\clonefrom\execute_checkout.go|84|bare bool return|func runGitCheckout(branch, absDest string) (string, bool) {
.\gitmap\clonefrom\execute_checkout_test.go|205|raw error return|func runRawGit(t *testing.T, dir string, args ...string) error {
.\gitmap\clonefrom\execute_dest.go|38|bare bool return|func prepareDestParent(absDest string) (string, bool) {
.\gitmap\clonefrom\execute_dest.go|53|bare bool return|func shouldSkip(absDest string) bool {
.\gitmap\clonefrom\execute_lfs_fix.go|21|bare bool return|func detectLFSSmudgeError(output string) (string, bool) {
.\gitmap\clonefrom\execute_lfs_fix.go|39|raw error return|func executeLFSFix(dest string, file string) error {
.\gitmap\clonefrom\execute_lfs_fix.go|45|fmt.Errorf|return fmt.Errorf(constants.ErrCloneFromLFSRestore, err, string(out))
.\gitmap\clonefrom\execute_lfs_fix.go|53|fmt.Errorf|return fmt.Errorf(constants.ErrCloneFromLFSRmCached, err, string(out))
.\gitmap\clonefrom\execute_lfs_fix.go|64|fmt.Errorf|return fmt.Errorf(constants.ErrCloneFromLFSCommit, err, string(out))
.\gitmap\clonefrom\execute_lfs_fix.go|72|fmt.Errorf|return fmt.Errorf(constants.ErrCloneFromLFSPush, err, string(out))
.\gitmap\clonefrom\jsonschema.go|37|raw error return|func EmitSchema(kind string) ([]byte, error) {
.\gitmap\clonefrom\jsonschema.go|44|fmt.Errorf|return nil, fmt.Errorf(constants.MsgCloneFromEmitSchemaUnknown, kind)
.\gitmap\clonefrom\jsonschema.go|117|raw error return|func EmitReportSchema() ([]byte, error) {
.\gitmap\clonefrom\jsonschema.go|154|raw error return|func EmitInputSchema() ([]byte, error) {
.\gitmap\clonefrom\jsonschema.go|161|raw error return|func marshalSchema(schemaObj any) ([]byte, error) {
.\gitmap\clonefrom\parse.go|33|raw error return|func ParseFile(path string) (Plan, error) {
.\gitmap\clonefrom\parse.go|36|fmt.Errorf|return Plan{}, fmt.Errorf(constants.ErrCloneFromAbsPath, path, err)
.\gitmap\clonefrom\parse.go|40|fmt.Errorf|return Plan{}, fmt.Errorf(constants.ErrCloneFromOpen, abs, err)
.\gitmap\clonefrom\parse.go|69|raw error return|func parseByFormat(r io.Reader, format string) ([]Row, error) {
.\gitmap\clonefrom\parse.go|81|raw error return|func parseJSON(r io.Reader) ([]Row, error) {
.\gitmap\clonefrom\parse.go|85|fmt.Errorf|return nil, fmt.Errorf(constants.ErrCloneFromJSONDecode, err)
.\gitmap\clonefrom\parse.go|91|fmt.Errorf|return nil, fmt.Errorf(constants.ErrCloneFromJSONRow, i+1, err)
.\gitmap\clonefrom\parse.go|101|raw error return|func jsonRow(obj map[string]any) (Row, error) {
.\gitmap\clonefrom\parsecsv.go|22|raw error return|func parseCSV(r io.Reader) ([]Row, error) {
.\gitmap\clonefrom\parsecsv.go|27|fmt.Errorf|return nil, fmt.Errorf(constants.ErrCloneFromCSVHeader, err)
.\gitmap\clonefrom\parsecsv.go|31|fmt.Errorf|return nil, fmt.Errorf(constants.ErrCloneFromCSVNoURL)
.\gitmap\clonefrom\parsecsv.go|42|raw error return|func readCSVRows(cr *csv.Reader, idx csvIndex) ([]Row, error) {
.\gitmap\clonefrom\parsecsv.go|52|fmt.Errorf|return nil, fmt.Errorf(constants.ErrCloneFromCSVRow, rowNum, err)
.\gitmap\clonefrom\parsecsv.go|67|raw error return|func wrapCSVRowErr(rowNum int, col string, err error) error {
.\gitmap\clonefrom\parsecsv.go|69|fmt.Errorf|return fmt.Errorf(constants.ErrCloneFromCSVRow, rowNum, err)
.\gitmap\clonefrom\parsecsv.go|72|fmt.Errorf|return fmt.Errorf(constants.ErrCloneFromCSVRowCol, rowNum, col, err)
.\gitmap\clonefrom\parsecsv.go|109|raw error return|func csvRow(rec []string, idx csvIndex) (Row, string, error) {
.\gitmap\clonefrom\parsecsv.go|129|raw error return|func applyDepth(row Row, depthStr string) (Row, string, error) {
.\gitmap\clonefrom\parsecsv.go|135|fmt.Errorf|return row, constants.CSVColumnDepth, fmt.Errorf(constants.ErrCloneFromBadDepth, depthStr)
